;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
27;134;;;22;32;0;0;4;0;100;0;0;0;23;181;;; € 15,00 ; € 5,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
28;97;;;16;1;0;0;0;0;99;60;0;7;32;215;;; € 20,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € 9,00 ; € 16,00 ; € -   ; € 17,00 ; € 15,00 ;;;;;;;;;;;;;;
29;62;;;5;44;20;0;36;76;0;5;15;78;0;279;;; € 18,00 ; € 5,00 ; € 36,00 ; € -   ; € 19,00 ; € 140,00 ; € -   ; € 17,00 ; € 15,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
30;44;;;3;10;92;13;0;72;88;0;26;0;44;348;;; € 16,00 ; € 5,00 ; € 24,00 ; € 13,00 ; € -   ; € 143,00 ; € 35,00 ; € -   ; € 19,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
31;84;;;24;0;87;5;0;0;0;23;0;103;0;242;;; € 20,00 ; € -   ; € 44,00 ; € 14,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
32;63;;;10;0;0;0;26;0;0;0;0;87;0;123;;; € 18,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
33;82;;;12;15;66;18;0;0;69;24;0;56;0;260;;; € 16,00 ; € 8,00 ; € 16,00 ; € 17,00 ; € -   ; € -   ; € 39,00 ; € 20,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
34;30;;;17;16;57;0;28;10;74;0;29;0;35;266;;; € 20,00 ; € 7,00 ; € 21,00 ; € -   ; € 15,00 ; € 150,00 ; € 5,00 ; € -   ; € 18,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
35;130;;;8;18;0;5;0;0;0;23;26;0;0;80;;; € 16,00 ; € 9,00 ; € -   ; € 11,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
36;39;;;14;50;0;7;0;0;0;5;26;0;37;139;;; € 19,00 ; € 10,00 ; € -   ; € 9,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 16,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
37;73;;;8;0;0;14;0;85;0;0;12;106;6;231;;; € 20,00 ; € -   ; € -   ; € 14,00 ; € -   ; € 183,00 ; € -   ; € -   ; € 19,00 ; € 19,00 ; € 15,00 ;;;;;;;;;;;;;;
38;37;;;1;0;0;14;0;14;50;0;0;61;8;148;;; € 17,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 160,00 ; € 7,00 ; € -   ; € -   ; € 19,00 ; € 16,00 ;;;;;;;;;;;;;;
39;131;;;16;0;0;1;0;28;0;0;0;0;0;45;;; € 15,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 102,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
40;50;;;3;4;14;0;0;80;0;0;19;0;49;169;;; € 20,00 ; € 9,00 ; € 40,00 ; € -   ; € -   ; € 185,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
41;84;;;16;0;0;0;7;0;66;42;0;0;0;131;;; € 17,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 29,00 ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
42;111;;;8;24;0;9;32;79;55;0;0;0;0;207;;; € 15,00 ; € 6,00 ; € -   ; € 14,00 ; € 16,00 ; € 103,00 ; € 13,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
43;17;;;1;0;4;0;0;0;84;30;0;59;0;178;;; € 15,00 ; € -   ; € 41,00 ; € -   ; € -   ; € -   ; € 27,00 ; € 19,00 ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
44;137;;;40;24;0;5;0;0;3;0;0;0;0;72;;; € 16,00 ; € 5,00 ; € -   ; € 10,00 ; € -   ; € -   ; € 22,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
45;90;;;22;31;0;0;0;0;0;42;9;0;0;104;;; € 17,00 ; € 10,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
46;128;;;0;0;51;0;42;32;0;0;10;63;0;198;;; € -   ; € -   ; € 50,00 ; € -   ; € 18,00 ; € 169,00 ; € -   ; € -   ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
47;131;;;0;3;67;14;0;0;0;0;1;35;7;127;;; € -   ; € 6,00 ; € 30,00 ; € 7,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
48;108;;;10;37;16;0;34;44;57;7;0;0;0;205;;; € 19,00 ; € 5,00 ; € 32,00 ; € -   ; € 16,00 ; € 177,00 ; € 39,00 ; € 17,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
49;68;;;3;12;58;15;0;89;0;42;16;94;0;329;;; € 18,00 ; € 8,00 ; € 35,00 ; € 13,00 ; € -   ; € 183,00 ; € -   ; € 16,00 ; € 17,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
50;23;;;13;38;0;0;6;0;66;0;10;102;0;235;;; € 19,00 ; € 5,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 14,00 ; € -   ; € 19,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
51;38;;;26;0;0;0;20;24;63;0;0;0;2;135;;; € 18,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 186,00 ; € 40,00 ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
52;87;;;4;11;0;1;0;20;0;0;1;0;0;37;;; € 19,00 ; € 8,00 ; € -   ; € 7,00 ; € -   ; € 156,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
53;97;;;2;28;91;18;0;0;21;18;5;0;0;183;;; € 16,00 ; € 9,00 ; € 27,00 ; € 7,00 ; € -   ; € -   ; € 13,00 ; € 15,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
54;35;;;20;0;60;0;0;0;74;21;0;48;0;223;;; € 16,00 ; € -   ; € 35,00 ; € -   ; € -   ; € -   ; € 36,00 ; € 17,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
55;108;;;1;19;0;0;50;0;69;24;0;92;41;296;;; € 20,00 ; € 6,00 ; € -   ; € -   ; € 19,00 ; € -   ; € 23,00 ; € 16,00 ; € -   ; € 20,00 ; € 20,00 ;;;;;;;;;;;;;;
56;106;;;7;0;0;3;1;90;0;0;0;0;0;101;;; € 15,00 ; € -   ; € -   ; € 10,00 ; € 15,00 ; € 170,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
57;26;;;8;0;17;7;0;0;0;51;0;13;0;96;;; € 20,00 ; € -   ; € 33,00 ; € 12,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
58;12;;;6;0;89;1;1;33;0;59;0;63;0;252;;; € 15,00 ; € -   ; € 24,00 ; € 14,00 ; € 18,00 ; € 134,00 ; € -   ; € 19,00 ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
59;104;;;17;39;0;5;0;0;48;60;0;0;9;178;;; € 20,00 ; € 5,00 ; € -   ; € 13,00 ; € -   ; € -   ; € 36,00 ; € 17,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
60;92;;;13;24;0;20;43;9;0;0;20;40;32;201;;; € 16,00 ; € 5,00 ; € -   ; € 10,00 ; € 19,00 ; € 107,00 ; € -   ; € -   ; € 20,00 ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
61;15;;;11;0;0;16;39;0;0;52;27;62;0;207;;; € 18,00 ; € -   ; € -   ; € 5,00 ; € 20,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € 18,00 ; € -   ;;;;;;;;;;;;;;
62;99;;;3;21;0;0;14;28;99;19;0;21;25;230;;; € 19,00 ; € 9,00 ; € -   ; € -   ; € 19,00 ; € 157,00 ; € 9,00 ; € 18,00 ; € -   ; € 17,00 ; € 18,00 ;;;;;;;;;;;;;;
63;102;;;20;0;0;0;0;0;46;0;7;82;0;155;;; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 26,00 ; € -   ; € 19,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
64;89;;;30;0;0;11;22;90;0;0;0;0;35;188;;; € 17,00 ; € -   ; € -   ; € 18,00 ; € 20,00 ; € 123,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
65;66;;;8;0;66;20;0;10;24;52;30;0;0;210;;; € 17,00 ; € -   ; € 19,00 ; € 15,00 ; € -   ; € 123,00 ; € 14,00 ; € 20,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
66;62;;;24;0;0;17;31;0;0;38;0;0;0;110;;; € 17,00 ; € -   ; € -   ; € 9,00 ; € 16,00 ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
67;14;;;1;29;99;0;41;0;85;0;13;0;0;268;;; € 15,00 ; € 8,00 ; € 36,00 ; € -   ; € 19,00 ; € -   ; € 28,00 ; € -   ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
68;61;;;20;0;0;6;0;85;0;0;29;0;0;140;;; € 17,00 ; € -   ; € -   ; € 9,00 ; € -   ; € 110,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
69;102;;;10;0;79;0;34;10;9;9;28;0;0;179;;; € 17,00 ; € -   ; € 21,00 ; € -   ; € 19,00 ; € 101,00 ; € 36,00 ; € 20,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
70;27;;;18;0;17;6;0;0;0;0;0;45;0;86;;; € 20,00 ; € -   ; € 22,00 ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
71;14;;;3;0;0;6;43;79;73;0;1;0;27;232;;; € 16,00 ; € -   ; € -   ; € 11,00 ; € 19,00 ; € 105,00 ; € 24,00 ; € -   ; € 18,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
72;93;;;7;0;51;0;0;14;0;3;28;0;0;103;;; € 20,00 ; € -   ; € 34,00 ; € -   ; € -   ; € 157,00 ; € -   ; € 16,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
73;57;;;2;0;7;0;0;38;0;19;0;46;0;112;;; € 16,00 ; € -   ; € 36,00 ; € -   ; € -   ; € 120,00 ; € -   ; € 20,00 ; € -   ; € 19,00 ; € -   ;;;;;;;;;;;;;;
74;125;;;28;0;0;0;0;0;68;44;11;26;0;177;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 16,00 ; € 16,00 ; € 20,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
75;64;;;1;0;0;0;0;50;0;57;2;80;0;190;;; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € 171,00 ; € -   ; € 20,00 ; € 18,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
76;127;;;17;0;97;0;10;14;66;41;0;97;7;349;;; € 19,00 ; € -   ; € 45,00 ; € -   ; € 16,00 ; € 146,00 ; € 19,00 ; € 16,00 ; € -   ; € 20,00 ; € 18,00 ;;;;;;;;;;;;;;
77;106;;;19;0;0;15;0;28;35;0;19;0;15;131;;; € 18,00 ; € -   ; € -   ; € 9,00 ; € -   ; € 133,00 ; € 21,00 ; € -   ; € 19,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
78;26;;;34;0;0;5;7;0;0;59;11;0;23;139;;; € 16,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ; € -   ; € 17,00 ; € 17,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
79;19;;;14;0;0;0;0;75;0;0;0;0;0;89;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 153,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
80;106;;;5;0;0;19;0;50;0;5;0;0;0;79;;; € 20,00 ; € -   ; € -   ; € 6,00 ; € -   ; € 113,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
81;67;;;19;28;26;1;0;87;0;59;0;0;0;220;;; € 17,00 ; € 8,00 ; € 26,00 ; € 20,00 ; € -   ; € 144,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
82;42;;;36;7;67;8;3;53;0;35;3;54;16;282;;; € 20,00 ; € 5,00 ; € 31,00 ; € 9,00 ; € 18,00 ; € 174,00 ; € -   ; € 16,00 ; € 17,00 ; € 19,00 ; € 15,00 ;;;;;;;;;;;;;;
83;148;;;16;49;0;0;19;0;48;22;0;37;22;213;;; € 16,00 ; € 9,00 ; € -   ; € -   ; € 19,00 ; € -   ; € 35,00 ; € 18,00 ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
84;110;;;0;0;0;2;0;0;0;59;0;1;0;62;;; € -   ; € -   ; € -   ; € 7,00 ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
85;64;;;18;0;0;0;0;48;0;14;5;74;0;159;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 172,00 ; € -   ; € 17,00 ; € 20,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
86;114;;;4;35;0;0;39;0;0;0;0;84;0;162;;; € 17,00 ; € 7,00 ; € -   ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
87;116;;;14;0;85;0;0;33;0;0;1;0;0;133;;; € 15,00 ; € -   ; € 20,00 ; € -   ; € -   ; € 143,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
88;85;;;10;0;0;0;25;41;42;0;0;99;19;236;;; € 15,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 148,00 ; € 37,00 ; € -   ; € -   ; € 19,00 ; € 18,00 ;;;;;;;;;;;;;;
89;63;;;40;17;66;0;0;0;0;45;0;33;19;220;;; € 20,00 ; € 8,00 ; € 45,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € 20,00 ; € 16,00 ;;;;;;;;;;;;;;
90;131;;;13;22;0;1;0;56;62;0;0;0;0;154;;; € 16,00 ; € 9,00 ; € -   ; € 19,00 ; € -   ; € 176,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
91;22;;;15;0;0;0;0;48;61;0;12;0;20;156;;; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 146,00 ; € 31,00 ; € -   ; € 18,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
92;10;;;4;0;0;2;0;0;0;46;0;0;0;52;;; € 15,00 ; € -   ; € -   ; € 9,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
93;39;;;15;0;0;18;0;100;0;45;10;0;45;233;;; € 15,00 ; € -   ; € -   ; € 7,00 ; € -   ; € 174,00 ; € -   ; € 18,00 ; € 16,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
94;118;;;13;37;0;0;14;52;97;0;0;0;45;258;;; € 18,00 ; € 9,00 ; € -   ; € -   ; € 17,00 ; € 168,00 ; € 25,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
95;16;;;36;0;29;0;0;90;55;43;16;0;0;269;;; € 20,00 ; € -   ; € 29,00 ; € -   ; € -   ; € 183,00 ; € 28,00 ; € 19,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
96;61;;;24;0;39;4;0;0;26;45;20;96;0;254;;; € 19,00 ; € -   ; € 31,00 ; € 14,00 ; € -   ; € -   ; € 8,00 ; € 18,00 ; € 15,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
97;85;;;20;0;90;0;0;0;20;8;28;91;33;290;;; € 19,00 ; € -   ; € 42,00 ; € -   ; € -   ; € -   ; € 26,00 ; € 18,00 ; € 15,00 ; € 19,00 ; € 18,00 ;;;;;;;;;;;;;;
98;60;;;18;33;0;4;0;0;88;48;19;0;0;210;;; € 18,00 ; € 6,00 ; € -   ; € 6,00 ; € -   ; € -   ; € 17,00 ; € 15,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
99;55;;;11;0;6;20;0;51;75;0;26;0;28;217;;; € 20,00 ; € -   ; € 17,00 ; € 12,00 ; € -   ; € 115,00 ; € 27,00 ; € -   ; € 19,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
100;24;;;7;0;49;1;0;0;0;0;0;0;6;63;;; € 19,00 ; € -   ; € 48,00 ; € 6,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
101;43;;;4;0;15;14;0;0;30;24;23;0;27;137;;; € 20,00 ; € -   ; € 20,00 ; € 12,00 ; € -   ; € -   ; € 24,00 ; € 15,00 ; € 20,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
102;85;;;15;0;21;0;32;31;0;0;30;36;3;168;;; € 19,00 ; € -   ; € 21,00 ; € -   ; € 20,00 ; € 120,00 ; € -   ; € -   ; € 19,00 ; € 16,00 ; € 17,00 ;;;;;;;;;;;;;;
103;4;;;22;26;0;0;45;0;73;25;0;15;50;256;;; € 20,00 ; € 5,00 ; € -   ; € -   ; € 15,00 ; € -   ; € 20,00 ; € 15,00 ; € -   ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
104;116;;;16;0;87;0;0;79;49;0;0;0;5;236;;; € 17,00 ; € -   ; € 44,00 ; € -   ; € -   ; € 162,00 ; € 24,00 ; € -   ; € -   ; € -   ; € 20,00 ;;;;;;;;;;;;;;
105;45;;;24;0;42;3;28;15;63;0;0;0;0;175;;; € 15,00 ; € -   ; € 41,00 ; € 10,00 ; € 18,00 ; € 151,00 ; € 33,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
106;142;;;3;0;0;0;26;78;0;0;0;17;35;159;;; € 15,00 ; € -   ; € -   ; € -   ; € 20,00 ; € 165,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
107;119;;;16;0;0;7;0;0;0;41;0;87;0;151;;; € 19,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
108;87;;;3;16;64;0;20;30;61;0;6;5;0;205;;; € 18,00 ; € 10,00 ; € 44,00 ; € -   ; € 18,00 ; € 172,00 ; € 7,00 ; € -   ; € 15,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
109;141;;;17;0;38;9;0;0;0;12;0;105;14;195;;; € 19,00 ; € -   ; € 42,00 ; € 10,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
110;92;;;20;31;0;0;48;0;0;0;25;0;26;150;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
111;117;;;1;28;0;0;0;0;0;0;0;108;0;137;;; € 20,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
112;73;;;1;22;97;0;24;11;85;0;30;6;0;276;;; € 20,00 ; € 8,00 ; € 39,00 ; € -   ; € 18,00 ; € 152,00 ; € 16,00 ; € -   ; € 20,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
113;141;;;38;0;0;0;0;0;78;29;29;0;44;218;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 22,00 ; € 17,00 ; € 18,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
